"SSNFLH.Code.or.Value","SSNFLH.Value.Description","SSNFLH.Count","SSNFLH.Cumulative","SSNFLH.Skip.to.Item"
"0","At or below the limit of detection",2071,2071,NA
"1","Above upper detection limit",0,2071,NA
".","Missing",14,2085,NA
