"RIDAGEEX.Code.or.Value","RIDAGEEX.Value.Description","RIDAGEEX.Count","RIDAGEEX.Cumulative","RIDAGEEX.Skip.to.Item"
"0 to 959","Range of Values",9855,9855,NA
".","Missing",682,10537,NA
