"AUXLR225.Code.or.Value","AUXLR225.Value.Description","AUXLR225.Count","AUXLR225.Cumulative","AUXLR225.Skip.to.Item"
"-30 to 61","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
