"BPD058.Code.or.Value","BPD058.Value.Description","BPD058.Count","BPD058.Cumulative","BPD058.Skip.to.Item"
"1 to 2704","Range of Values",1574,1574,NA
"7777","Refused",0,1574,NA
"9999","Don't know",5,1579,NA
".","Missing",4885,6464,NA
