"ARQ023GE.Code.or.Value","ARQ023GE.Value.Description","ARQ023GE.Count","ARQ023GE.Cumulative","ARQ023GE.Skip.to.Item"
"1","ENTER AGE IN YEARS",68,68,NA
"3","HAD LESS THAN 1 YEAR AGO BUT NOT NOW",7,75,NA
"7","Refused",0,75,NA
"9","Don't know",1,76,NA
".","Missing",5030,5106,NA
