"DXXOFBMC.Code.or.Value","DXXOFBMC.Value.Description","DXXOFBMC.Count","DXXOFBMC.Cumulative","DXXOFBMC.Skip.to.Item"
"13.42 to 70.99","Range of Values",2286,2286,NA
".","Missing",612,2898,NA
