"OPDSOTHC.Code.or.Value","OPDSOTHC.Value.Description","OPDSOTHC.Count","OPDSOTHC.Cumulative","OPDSOTHC.Skip.to.Item"
"0","No",3018,3018,NA
"1","Questionable",26,3044,NA
"2","Yes",171,3215,NA
"3","Yes, in center",0,3215,NA
".","Missing",648,3863,NA
