"MSDAPF.Code.or.Value","MSDAPF.Value.Description","MSDAPF.Count","MSDAPF.Cumulative","MSDAPF.Skip.to.Item"
"46 to 658.7","Range of Values",1542,1542,NA
".","Missing",751,2293,NA
