"WTSBA2YR.Code.or.Value","WTSBA2YR.Value.Description","WTSBA2YR.Count","WTSBA2YR.Cumulative","WTSBA2YR.Skip.to.Item"
"2935.9948217 to 350744.24731","Range of Values",946,946,NA
".","Missing",65,1011,NA
