"SSCYGOS.Code.or.Value","SSCYGOS.Value.Description","SSCYGOS.Count","SSCYGOS.Cumulative","SSCYGOS.Skip.to.Item"
"0 to 4","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
