"LBXTCDLA.Code.or.Value","LBXTCDLA.Value.Description","LBXTCDLA.Count","LBXTCDLA.Cumulative","LBXTCDLA.Skip.to.Item"
"0.3 to 28.6","Range of Values",1876,1876,NA
".","Missing",409,2285,NA
