"LBDT4FSI.Code.or.Value","LBDT4FSI.Value.Description","LBDT4FSI.Count","LBDT4FSI.Cumulative","LBDT4FSI.Skip.to.Item"
"5.5 to 35.6","Range of Values",1970,1970,NA
".","Missing",207,2177,NA
