"MCQ260GF.Code.or.Value","MCQ260GF.Value.Description","MCQ260GF.Count","MCQ260GF.Cumulative","MCQ260GF.Skip.to.Item"
"6","Father's father",48,48,NA
".","Missing",9597,9645,NA
