"MCQ240x.Code.or.Value","MCQ240x.Value.Description","MCQ240x.Count","MCQ240x.Cumulative","MCQ240x.Skip.to.Item"
"30 to 78","Range of Values",46,46,NA
"80","80 years or older",7,53,NA
"77777","Refused",0,53,NA
"99999","Don't know",1,54,NA
".","Missing",9521,9575,NA
