"LBXM1.Code.or.Value","LBXM1.Value.Description","LBXM1.Count","LBXM1.Cumulative","LBXM1.Skip.to.Item"
"1","Yes",133,133,NA
"2","No",2309,2442,NA
".","Missing",6737,9179,NA
