"SSSNFL.Code.or.Value","SSSNFL.Value.Description","SSSNFL.Count","SSSNFL.Cumulative","SSSNFL.Skip.to.Item"
"2.8 to 497.6","Range of Values",2071,2071,NA
".","Missing",14,2085,NA
