"TYXA165.Code.or.Value","TYXA165.Value.Description","TYXA165.Count","TYXA165.Cumulative","TYXA165.Skip.to.Item"
"0.09 to 6.378","Range of Values",2083,2083,NA
".","Missing",3502,5585,NA
