"PFQ069gQ.Code.or.Value","PFQ069gQ.Value.Description","PFQ069gQ.Count","PFQ069gQ.Cumulative","PFQ069gQ.Skip.to.Item"
"1 to 73","Range of Values",198,198,NA
"77777","Refused",0,198,NA
"99999","Don't know",0,198,NA
".","Missing",9295,9493,NA
