"LBXIN.Code.or.Value","LBXIN.Value.Description","LBXIN.Count","LBXIN.Cumulative","LBXIN.Skip.to.Item"
"0.71 to 485.1","Range of Values",2825,2825,NA
".","Missing",211,3036,NA
