"OPDUPED.Code.or.Value","OPDUPED.Value.Description","OPDUPED.Count","OPDUPED.Cumulative","OPDUPED.Skip.to.Item"
"0","No",3208,3208,NA
"1","Yes",10,3218,NA
".","Missing",645,3863,NA
