"WTSBA11.Code.or.Value","WTSBA11.Value.Description","WTSBA11.Count","WTSBA11.Cumulative","WTSBA11.Skip.to.Item"
"0 to 376419.25428","Range of Values",946,946,NA
".","Missing",65,1011,NA
