"AUDTYR23.Code.or.Value","AUDTYR23.Value.Description","AUDTYR23.Count","AUDTYR23.Cumulative","AUDTYR23.Skip.to.Item"
"0 to 1.84","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
