"LBDGLYLC.Code.or.Value","LBDGLYLC.Value.Description","LBDGLYLC.Count","LBDGLYLC.Cumulative","LBDGLYLC.Skip.to.Item"
"0","detectable result",2267,2267,NA
"1","below detectable limit",0,2267,NA
".","Missing",425,2692,NA
