"AUDTYL48.Code.or.Value","AUDTYL48.Value.Description","AUDTYL48.Count","AUDTYL48.Cumulative","AUDTYL48.Skip.to.Item"
"0 to 3.88","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
