"DXXPT68X.Code.or.Value","DXXPT68X.Value.Description","DXXPT68X.Count","DXXPT68X.Cumulative","DXXPT68X.Skip.to.Item"
"655.5 to 1194.3","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
