"BPD140.Code.or.Value","BPD140.Value.Description","BPD140.Count","BPD140.Cumulative","BPD140.Skip.to.Item"
"1","Yes",131,131,NA
"2","No",387,518,NA
"7","Refused",0,518,NA
"9","Don't know",0,518,NA
".","Missing",5695,6213,NA
