"WHD100Q.Code.or.Value","WHD100Q.Value.Description","WHD100Q.Count","WHD100Q.Cumulative","WHD100Q.Skip.to.Item"
"43","Ate more fruits, vegetables, salads",207,207,NA
".","Missing",5968,6175,NA
