"LBDBGMSI.Code.or.Value","LBDBGMSI.Value.Description","LBDBGMSI.Count","LBDBGMSI.Cumulative","LBDBGMSI.Skip.to.Item"
"0.9 to 278.94","Range of Values",7480,7480,NA
".","Missing",886,8366,NA
