"LBC146LA.Code.or.Value","LBC146LA.Value.Description","LBC146LA.Count","LBC146LA.Cumulative","LBC146LA.Skip.to.Item"
"0.1131 to 32.45","Range of Values",264,264,NA
".","Missing",1,265,NA
