"DXXRRBMC.Code.or.Value","DXXRRBMC.Value.Description","DXXRRBMC.Count","DXXRRBMC.Cumulative","DXXRRBMC.Skip.to.Item"
"22.22 to 217.71","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
