"IMQ060.Code.or.Value","IMQ060.Value.Description","IMQ060.Count","IMQ060.Cumulative","IMQ060.Skip.to.Item"
"1","Yes",582,582,"IMQ081A"
"2","No",1934,2516,"End of Section"
"7","Refused",0,2516,"End of Section"
"9","Don't know",192,2708,"End of Section"
".","Missing",6546,9254,""
