"RFXC070.Code.or.Value","RFXC070.Value.Description","RFXC070.Count","RFXC070.Cumulative","RFXC070.Skip.to.Item"
"-7.553 to 5.219","Range of Values",33697,33697,NA
".","Missing",24,33721,NA
