"LEXBRP2.Code.or.Value","LEXBRP2.Value.Description","LEXBRP2.Count","LEXBRP2.Cumulative","LEXBRP2.Skip.to.Item"
"55 to 217","Range of Values",1066,1066,NA
".","Missing",2020,3086,NA
