"WBXA049.Code.or.Value","WBXA049.Value.Description","WBXA049.Count","WBXA049.Cumulative","WBXA049.Skip.to.Item"
"-249.3412 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
