"PAXFDAY.Code.or.Value","PAXFDAY.Value.Description","PAXFDAY.Count","PAXFDAY.Cumulative","PAXFDAY.Skip.to.Item"
"1","Sunday",1739,1739,NA
"2","Monday",1261,3000,NA
"3","Tuesday",608,3608,NA
"4","Wednesday",757,4365,NA
"5","Thursday",739,5104,NA
"6","Friday",656,5760,NA
"7","Saturday",2016,7776,NA
"< blank >","Missing",1137,8913,NA
