"URDUMOLC.Code.or.Value","URDUMOLC.Value.Description","URDUMOLC.Count","URDUMOLC.Cumulative","URDUMOLC.Skip.to.Item"
"0","At or above the detection limit",2808,2808,NA
"1","Below lower detection limit",0,2808,NA
".","Missing",171,2979,NA
