"URXRIM.Code.or.Value","URXRIM.Value.Description","URXRIM.Count","URXRIM.Cumulative","URXRIM.Skip.to.Item"
"0.0424 to 0.0424","Range of Values",2530,2530,NA
".","Missing",164,2694,NA
