"BIXS016K.Code.or.Value","BIXS016K.Value.Description","BIXS016K.Count","BIXS016K.Cumulative","BIXS016K.Skip.to.Item"
"357.63 to 968.71","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
