"CIQP13P.Code.or.Value","CIQP13P.Value.Description","CIQP13P.Count","CIQP13P.Cumulative","CIQP13P.Skip.to.Item"
"1","Yes",26,26,NA
"2","No",82,108,NA
"7","Refused",0,108,NA
"9","Don't know",0,108,NA
".","Missing",742,850,NA
