"PAQ050Q.Code.or.Value","PAQ050Q.Value.Description","PAQ050Q.Count","PAQ050Q.Cumulative","PAQ050Q.Skip.to.Item"
"1 to 100","Range of Values",2370,2370,NA
"77777","Refused",0,2370,NA
"99999","Don't know",0,2370,NA
".","Missing",7054,9424,NA
