"LBX138.Code.or.Value","LBX138.Value.Description","LBX138.Count","LBX138.Cumulative","LBX138.Skip.to.Item"
"0.0055 to 5.1055","Range of Values",1896,1896,NA
".","Missing",389,2285,NA
