"LB2SC3SI.Code.or.Value","LB2SC3SI.Value.Description","LB2SC3SI.Count","LB2SC3SI.Cumulative","LB2SC3SI.Skip.to.Item"
"14 to 32","Range of Values",544,544,NA
".","Missing",2,546,NA
