"WTSPH12.Code.or.Value","WTSPH12.Value.Description","WTSPH12.Count","WTSPH12.Cumulative","WTSPH12.Skip.to.Item"
"0 to 780525.41317","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
