"TYXP042.Code.or.Value","TYXP042.Value.Description","TYXP042.Count","TYXP042.Cumulative","TYXP042.Skip.to.Item"
"-37 to 191","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
