"WHQ200.Code.or.Value","WHQ200.Value.Description","WHQ200.Count","WHQ200.Cumulative","WHQ200.Skip.to.Item"
"21 to 79","Range of Values",73,73,NA
"77777","Refused",0,73,NA
"99999","Don't know",1,74,NA
".","Missing",6087,6161,NA
