"LBDSCASI.Code.or.Value","LBDSCASI.Value.Description","LBDSCASI.Count","LBDSCASI.Cumulative","LBDSCASI.Skip.to.Item"
"1.6 to 2.925","Range of Values",5901,5901,NA
".","Missing",500,6401,NA
