"PAD615.Code.or.Value","PAD615.Value.Description","PAD615.Count","PAD615.Cumulative","PAD615.Skip.to.Item"
"10 to 840","Range of Values",1375,1375,NA
"7777","Refused",0,1375,NA
"9999","Don't know",6,1381,NA
".","Missing",4475,5856,NA
