"VIXKRG2.Code.or.Value","VIXKRG2.Value.Description","VIXKRG2.Count","VIXKRG2.Cumulative","VIXKRG2.Skip.to.Item"
"0 to 179","Range of Values",6432,6432,NA
"888","Could not obtain",72,6504,NA
".","Missing",413,6917,NA
