"LBDFORLC.Code.or.Value","LBDFORLC.Value.Description","LBDFORLC.Count","LBDFORLC.Cumulative","LBDFORLC.Skip.to.Item"
"0","at or above the limit of detection",2372,2372,NA
"1","below limit of detection",0,2372,NA
".","Missing",320,2692,NA
