"LBDHEG.Code.or.Value","LBDHEG.Value.Description","LBDHEG.Count","LBDHEG.Cumulative","LBDHEG.Skip.to.Item"
"1","Positive",538,538,NA
"2","Negative",6253,6791,NA
"3","Indeterminate",0,6791,NA
".","Missing",644,7435,NA
