"SSDPHP.Code.or.Value","SSDPHP.Value.Description","SSDPHP.Count","SSDPHP.Cumulative","SSDPHP.Skip.to.Item"
"0.071 to 2220","Range of Values",2430,2430,NA
".","Missing",0,2430,NA
