"URXAMU.Code.or.Value","URXAMU.Value.Description","URXAMU.Count","URXAMU.Cumulative","URXAMU.Skip.to.Item"
"0.071 to 1220","Range of Values",2621,2621,NA
".","Missing",138,2759,NA
