"SMQ050U.Code.or.Value","SMQ050U.Value.Description","SMQ050U.Count","SMQ050U.Cumulative","SMQ050U.Skip.to.Item"
"1","Days",13,13,NA
"2","Weeks",11,24,NA
"3","Months",96,120,NA
"4","Years",1135,1255,NA
"7","Refused",0,1255,NA
"9","Don't know",0,1255,NA
".","Missing",5469,6724,NA
