"ALD260.Code.or.Value","ALD260.Value.Description","ALD260.Count","ALD260.Cumulative","ALD260.Skip.to.Item"
"1 to 182","Range of Values",1022,1022,NA
"0","Never",3848,4870,NA
"77777","Refused",7,4877,NA
"99999","Don't know",2,4879,NA
".","Missing",5086,9965,NA
