"RFXC165.Code.or.Value","RFXC165.Value.Description","RFXC165.Count","RFXC165.Cumulative","RFXC165.Skip.to.Item"
"-1.67 to 2.408","Range of Values",33667,33667,NA
".","Missing",54,33721,NA
