"TYXP013.Code.or.Value","TYXP013.Value.Description","TYXP013.Count","TYXP013.Cumulative","TYXP013.Skip.to.Item"
"83 to 196","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
