"ENQ040.Code.or.Value","ENQ040.Value.Description","ENQ040.Count","ENQ040.Cumulative","ENQ040.Skip.to.Item"
"1","Yes",277,277,NA
"2","No",4693,4970,NA
"7","Refused",0,4970,NA
"9","Don't know",0,4970,NA
".","Missing",2525,7495,NA
