"WBXA044.Code.or.Value","WBXA044.Value.Description","WBXA044.Count","WBXA044.Cumulative","WBXA044.Skip.to.Item"
"-11.8413 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
