"BMXRECUM.Code.or.Value","BMXRECUM.Value.Description","BMXRECUM.Count","BMXRECUM.Cumulative","BMXRECUM.Skip.to.Item"
"49.1 to 111.3","Range of Values",894,894,NA
".","Missing",7810,8704,NA
