"DTD150Q.Code.or.Value","DTD150Q.Value.Description","DTD150Q.Count","DTD150Q.Cumulative","DTD150Q.Skip.to.Item"
"0 to 56","Range of Values",7849,7849,NA
"777","Refused",3,7852,NA
"999","Don't know",4,7856,NA
".","Missing",685,8541,NA
