"DXXLLLI.Code.or.Value","DXXLLLI.Value.Description","DXXLLLI.Count","DXXLLLI.Cumulative","DXXLLLI.Skip.to.Item"
"2165.6 to 24345.1","Range of Values",4019,4019,NA
".","Missing",1095,5114,NA
