"WBXF006.Code.or.Value","WBXF006.Value.Description","WBXF006.Count","WBXF006.Cumulative","WBXF006.Skip.to.Item"
"343.4884 to 343.4884","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
