"PFQ049.Code.or.Value","PFQ049.Value.Description","PFQ049.Count","PFQ049.Cumulative","PFQ049.Skip.to.Item"
"1","Yes",983,983,NA
"2","No",4582,5565,NA
"7","Refused",1,5566,NA
"9","Don't know",3,5569,NA
".","Missing",2852,8421,NA
