"VIXKRD1.Code.or.Value","VIXKRD1.Value.Description","VIXKRD1.Count","VIXKRD1.Cumulative","VIXKRD1.Skip.to.Item"
"34 to 49.75","Range of Values",6432,6432,NA
"88","Could not obtain",72,6504,NA
".","Missing",413,6917,NA
